base,threshold,near_max,far_min,near_n_runs,near_n_runs_ge_threshold,near_E,far_n_runs,far_n_runs_ge_threshold,far_E,near_far_ratio,near_far_difference,near_far_odds_ratio
A,5,100,400,254836,3436,0.013483181340156022,244604,1688,0.006900950107111903,1.9538152183219928,0.006582231233044119,1.9665552903402095
A,10,100,400,254836,4,1.56963694297509e-05,244604,1,4.088240584781933e-06,3.839394747994789,1.1608128844968967e-05,2.879579723936311
A,15,100,400,254836,3,1.1772277072313174e-05,244604,0,0.0,,1.1772277072313174e-05,6.719020458456208
C,5,100,400,254321,394,0.0015492232257658628,237803,367,0.0015432942393493775,1.0038417731792901,5.928986416485265e-06,1.0037542774442085
C,10,100,400,254321,11,4.325242508483373e-05,237803,1,4.205161415120919e-06,10.285556442448716,3.9047263669712814e-05,7.169002066371621
C,15,100,400,254321,0,0.0,237803,0,0.0,,0.0,0.9350507133687085
G,5,100,400,252838,279,0.0011034733703003505,240880,412,0.0017103952175357025,0.6451569549464767,-0.000606921847235352,0.6451375856406354
G,10,100,400,252838,0,0.0,240880,0,0.0,,0.0,0.9527049875711175
G,15,100,400,252838,0,0.0,240880,0,0.0,,0.0,0.9527049875711175
T,5,100,400,251159,3178,0.01265333911984042,238994,1501,0.006280492397298677,2.0147049497715797,0.006372846722541743,2.027352768329414
T,10,100,400,251159,4,1.592616629306535e-05,238994,1,4.184205461224968e-06,3.8062581870448606,1.1741960831840382e-05,2.8547274497273603
T,15,100,400,251159,1,3.9815415732663375e-06,238994,0,0.0,,3.9815415732663375e-06,2.854705295659912
all,5,100,400,1013154,7287,0.007192391285036628,962281,3968,0.00412353564083672,1.7442292031643982,0.0030688556441999084,1.7495204093584271
all,10,100,400,1013154,19,1.8753318843926984e-05,962281,3,3.1175924703906656e-06,6.0153208034843,1.563572637353632e-05,5.291756066756548
all,15,100,400,1013154,4,3.94806712503726e-06,962281,0,0.0,,3.94806712503726e-06,8.548121429146015
